x_mm,y_mm,z_mm,slice_idx
-105.1337,2.9947,14.8871,8
-104.6337,2.4946,14.8834,8
-103.1338,2.4945,14.8636,8
-102.6339,2.9945,14.8540,8
-102.1339,2.4944,14.8503,8
-100.6341,2.4943,14.8305,8
-98.6342,0.4942,14.8158,8
-98.1343,0.4942,14.8092,8
-97.1344,-0.5059,14.8018,8
-96.1344,-0.5060,14.7886,8
-95.6345,-1.0060,14.7849,8
-95.1345,-1.0061,14.7783,8
-94.6346,-1.5061,14.7746,8
-94.1346,-1.5061,14.7680,8
-93.6347,-2.0062,14.7643,8
-93.1347,-2.0062,14.7577,8
-92.1348,-3.0063,14.7503,8
-91.6348,-3.0063,14.7437,8
-88.1351,-6.5065,14.7179,8
-88.1351,-7.0065,14.7209,8
-85.6354,-9.5066,14.7024,8
-85.6354,-10.0066,14.7054,8
-83.6355,-12.0068,14.6906,8
-83.6355,-12.5067,14.6935,8
-83.1356,-13.0068,14.6898,8
-83.1356,-27.0065,14.7717,8
-83.6355,-27.5065,14.7812,8
-83.6355,-29.5065,14.7929,8
-84.1355,-30.0064,14.8024,8
-83.6355,-30.5064,14.7987,8
-84.1355,-31.0064,14.8082,8
-83.6355,-31.5064,14.8046,8
-83.6355,-36.0063,14.8309,8
-86.1353,-38.5061,14.8785,8
-86.6353,-38.5061,14.8851,8
-87.1352,-39.0060,14.8946,8
-87.6352,-39.0060,14.9012,8
-88.6351,-40.0059,14.9203,8
-89.6350,-40.0058,14.9335,8
-90.1350,-40.5058,14.9430,8
-90.6349,-40.0057,14.9467,8
-91.1349,-40.0057,14.9533,8
-94.1346,-37.0055,14.9755,8
-94.6346,-37.0055,14.9821,8
-95.1345,-37.5054,14.9916,8
-97.6343,-37.5052,15.0246,8
-99.1342,-39.0051,15.0532,8
-99.1342,-39.5051,15.0561,8
-101.6340,-42.0049,15.1038,8
-102.1339,-42.0048,15.1104,8
-102.6339,-42.5048,15.1199,8
-107.6334,-42.5044,15.1860,8
-108.1334,-43.0043,15.1955,8
-105.0901,-44.4853,18.4643,9
-105.5900,-43.9852,18.4680,9
-107.5898,-43.9851,18.4944,9
-108.0898,-43.4850,18.4981,9
-110.0896,-43.4849,18.5245,9
-110.5896,-42.9849,18.5282,9
-111.5895,-42.9848,18.5414,9
-112.0894,-42.4847,18.5451,9
-113.0894,-42.4847,18.5583,9
-113.5893,-41.9846,18.5620,9
-114.0893,-41.9846,18.5686,9
-115.5891,-40.4845,18.5797,9
-116.0891,-40.4845,18.5863,9
-120.0887,-36.4842,18.6158,9
-120.5887,-36.4842,18.6224,9
-122.0886,-34.9841,18.6334,9
-122.5885,-34.9841,18.6400,9
-125.0883,-32.4839,18.6585,9
-125.0883,-30.4839,18.6468,9
-125.5883,-29.9839,18.6505,9
-125.5883,-27.9840,18.6388,9
-126.0882,-27.4839,18.6425,9
-126.0882,-21.9840,18.6103,9
-123.0885,-18.9843,18.5532,9
-122.5885,-18.9843,18.5465,9
-121.0887,-17.4845,18.5180,9
-121.0887,-16.9845,18.5150,9
-119.0888,-14.9847,18.4769,9
-119.0888,-12.9847,18.4652,9
-118.5889,-12.4848,18.4557,9
-118.5889,-11.9848,18.4528,9
-118.0889,-11.4848,18.4433,9
-118.0889,-10.9848,18.4403,9
-117.5890,-10.4849,18.4308,9
-117.5890,-9.9849,18.4279,9
-116.5890,-8.9850,18.4088,9
-116.5890,-8.4850,18.4059,9
-116.0891,-7.9850,18.3964,9
-116.0891,-5.9851,18.3847,9
-115.0892,-4.9852,18.3656,9
-115.0892,-4.4852,18.3627,9
-112.5894,-1.9854,18.3151,9
-112.5894,-1.4854,18.3121,9
-111.5895,-0.4855,18.2931,9
-111.5895,0.0145,18.2902,9
-110.0896,1.5143,18.2616,9
-109.5897,1.5143,18.2550,9
-109.0897,2.0143,18.2454,9
-107.5898,2.0141,18.2256,9
-107.0899,2.5141,18.2161,9
-106.0900,2.5140,18.2029,9
-105.5900,2.0140,18.1992,9
-105.0901,2.5139,18.1896,9
-104.5901,2.0139,18.1860,9
-101.0904,2.0136,18.1397,9
-100.5904,1.5136,18.1360,9
-100.0905,2.0136,18.1265,9
-99.5905,2.0135,18.1199,9
-99.0906,1.5135,18.1162,9
-98.0907,1.5134,18.1030,9
-97.5907,1.0134,18.0993,9
-96.0908,1.0133,18.0795,9
-94.5910,-0.4868,18.0684,9
-94.0910,-0.4869,18.0618,9
-93.0911,-1.4869,18.0544,9
-92.5911,-1.4870,18.0478,9
-91.0913,-2.9870,18.0368,9
-90.5913,-2.9871,18.0302,9
-85.5918,-7.9874,17.9933,9
-85.5918,-8.4874,17.9962,9
-85.0918,-8.9874,17.9926,9
-85.0918,-9.4874,17.9955,9
-84.0919,-10.4875,17.9881,9
-84.0919,-10.9874,17.9910,9
-83.5919,-11.4875,17.9873,9
-83.5919,-11.9875,17.9903,9
-83.0920,-12.4875,17.9866,9
-83.0920,-14.9875,18.0012,9
-83.5919,-15.4874,18.0107,9
-83.5919,-15.9874,18.0136,9
-84.0919,-16.4874,18.0232,9
-84.0919,-17.4873,18.0290,9
-83.0920,-18.4874,18.0216,9
-83.5919,-18.9874,18.0312,9
-83.0920,-19.4874,18.0275,9
-83.0920,-27.9872,18.0772,9
-83.5919,-28.4872,18.0867,9
