x_mm,y_mm,z_mm,slice_idx
-119.9738,-12.9841,-25.0760,14
-119.9711,-12.3662,-24.9822,14
-119.6639,-12.0489,-24.9992,14
-119.6625,-11.7400,-24.9523,14
-119.3553,-11.4227,-24.9693,14
-119.3526,-10.8048,-24.8755,14
-118.4311,-9.8529,-24.9265,14
-118.4297,-9.5439,-24.8796,14
-117.8154,-8.9093,-24.9135,14
-117.8140,-8.6004,-24.8666,14
-117.1997,-7.9658,-24.9006,14
-117.1969,-7.3479,-24.8068,14
-116.5826,-6.7133,-24.8408,14
-116.5812,-6.4043,-24.7939,14
-116.2741,-6.0870,-24.8109,14
-116.2727,-5.7781,-24.7640,14
-114.1225,-3.5571,-24.8829,14
-113.8167,-3.5487,-24.9468,14
-113.5096,-3.2314,-24.9637,14
-112.8980,-3.2148,-25.0915,14
-111.9765,-2.2629,-25.1425,14
-111.6707,-2.2545,-25.2064,14
-111.3636,-1.9373,-25.2233,14
-111.0578,-1.9289,-25.2872,14
-110.4434,-1.2943,-25.3212,14
-110.1377,-1.2860,-25.3851,14
-109.5233,-0.6514,-25.4190,14
-108.9118,-0.6348,-25.5468,14
-108.6046,-0.3175,-25.5638,14
-107.9930,-0.3008,-25.6916,14
-107.6859,0.0165,-25.7086,14
-107.3801,0.0248,-25.7724,14
-107.0729,0.3421,-25.7894,14
-106.4613,0.3588,-25.9172,14
-106.1542,0.6761,-25.9342,14
-105.8484,0.6844,-25.9981,14
-105.5412,1.0017,-26.0150,14
-105.2354,1.0100,-26.0789,14
-104.9283,1.3273,-26.0959,14
-104.3167,1.3440,-26.2237,14
-104.0095,1.6613,-26.2407,14
-101.8690,1.7196,-26.6879,14
-101.5646,1.4190,-26.7986,14
-101.2588,1.4273,-26.8625,14
-100.9544,1.1267,-26.9733,14
-100.6486,1.1350,-27.0372,14
-100.0398,0.5338,-27.2588,14
-99.7340,0.5421,-27.3226,14
-99.1252,-0.0591,-27.5442,14
-99.1266,-0.3681,-27.5911,14
-98.8222,-0.6687,-27.7019,14
-98.8235,-0.9777,-27.7488,14
-97.9103,-1.8795,-28.0811,14
-97.9117,-2.1885,-28.1280,14
-96.9985,-3.0904,-28.4604,14
-96.9998,-3.3993,-28.5073,14
-96.3910,-4.0006,-28.7288,14
-96.3938,-4.6185,-28.8226,14
-95.4806,-5.5204,-29.1550,14
-95.4847,-6.4472,-29.2957,14
-95.1803,-6.7478,-29.4065,14
-95.1817,-7.0568,-29.4534,14
-94.8772,-7.3574,-29.5641,14
-94.8786,-7.6664,-29.6110,14
-94.5742,-7.9670,-29.7218,14
-94.5756,-8.2760,-29.7687,14
-94.2712,-8.5766,-29.8795,14
-94.2726,-8.8856,-29.9264,14
-93.9681,-9.1862,-30.0372,14
-93.9695,-9.4951,-30.0841,14
-93.0563,-10.3970,-30.4164,14
-93.0577,-10.7060,-30.4633,14
-91.8400,-11.9085,-30.9065,14
-91.8414,-12.2174,-30.9534,14
-91.5370,-12.5180,-31.0641,14
-91.5384,-12.8270,-31.1110,14
-91.2340,-13.1276,-31.2218,14
-91.8483,-13.7622,-31.1878,14
-91.8497,-14.0712,-31.2347,14
-92.1568,-14.3885,-31.2178,14
-92.1610,-15.3153,-31.3585,14
-94.3111,-17.5364,-31.2396,14
-94.3153,-18.4632,-31.3803,14
-94.6224,-18.7805,-31.3633,14
-94.6238,-19.0895,-31.4102,14
-94.3194,-19.3901,-31.5209,14
-94.3235,-20.3170,-31.6616,14
-95.2450,-21.2689,-31.6107,14
-95.2464,-21.5778,-31.6576,14
-95.5536,-21.8951,-31.6406,14
-95.5549,-22.2041,-31.6875,14
-99.5481,-26.3289,-31.4667,14
-99.8539,-26.3372,-31.4028,14
-100.7754,-27.2891,-31.3518,14
-101.0812,-27.2974,-31.2880,14
-104.7671,-31.1049,-31.0841,14
-105.0729,-31.1132,-31.0202,14
-105.6872,-31.7478,-30.9863,14
-105.9930,-31.7562,-30.9224,14
-106.6074,-32.3907,-30.8884,14
-107.5247,-32.4157,-30.6968,14
-107.8319,-32.7330,-30.6798,14
-109.0550,-32.7664,-30.4242,14
-109.3622,-33.0837,-30.4073,14
-102.6357,-24.1191,-23.0279,16
-102.9401,-23.8185,-22.9171,16
-103.5517,-23.8352,-22.7894,16
-103.8561,-23.5346,-22.6786,16
-106.3024,-23.6012,-22.1675,16
-106.6068,-23.3006,-22.0567,16
-107.2184,-23.3173,-21.9290,16
-107.5228,-23.0167,-21.8182,16
-108.4402,-23.0417,-21.6265,16
-108.7446,-22.7410,-21.5157,16
-109.0504,-22.7494,-21.4519,16
-109.3548,-22.4487,-21.3411,16
-110.5779,-22.4821,-21.0855,16
-110.8823,-22.1815,-20.9748,16
-111.1881,-22.1898,-20.9109,16
-111.7969,-21.5885,-20.6893,16
-112.1027,-21.5969,-20.6254,16
-113.6248,-20.0938,-20.0715,16
-113.9305,-20.1021,-20.0076,16
-115.1482,-18.8996,-19.5645,16
-116.3713,-18.9329,-19.3090,16
-117.2846,-18.0311,-18.9766,16
-117.2818,-17.4131,-18.8828,16
-116.9746,-17.0958,-18.8998,16
-116.9733,-16.7869,-18.8529,16
-117.2777,-16.4863,-18.7421,16
-117.2763,-16.1773,-18.6952,16
-116.6620,-15.5427,-18.7292,16
-116.6523,-13.3800,-18.4009,16
-116.3452,-13.0627,-18.4179,16
-116.3438,-12.7538,-18.3710,16
-116.0366,-12.4365,-18.3880,16
-116.0352,-12.1275,-18.3411,16
-115.7281,-11.8102,-18.3581,16
-115.7170,-9.3386,-17.9829,16
-115.4099,-9.0213,-17.9999,16
-115.4030,-7.4765,-17.7654,16
-115.0958,-7.1592,-17.7824,16
-115.0931,-6.5413,-17.6886,16
-113.8644,-5.2721,-17.7565,16
-113.8630,-4.9632,-17.7096,16
-113.2487,-4.3286,-17.7436,16
-113.2473,-4.0196,-17.6967,16
-112.3258,-3.0677,-17.7476,16
-112.0201,-3.0594,-17.8115,16
-111.7129,-2.7421,-17.8285,16
-111.4071,-2.7338,-17.8924,16
-111.0999,-2.4165,-17.9094,16
-110.7941,-2.4082,-17.9733,16
-110.4870,-2.0909,-17.9902,16
-109.8754,-2.0742,-18.1180,16
-109.5682,-1.7569,-18.1350,16
-109.2625,-1.7486,-18.1989,16
-108.9553,-1.4313,-18.2159,16
-107.4264,-1.3896,-18.5353,16
-107.1220,-1.6902,-18.6461,16
-106.2046,-1.6652,-18.8377,16
-105.9002,-1.9659,-18.9485,16
-103.4539,-1.8992,-19.4596,16
-103.1495,-2.1998,-19.5704,16
-101.6205,-2.1581,-19.8898,16
-101.3161,-2.4588,-20.0006,16
-101.0103,-2.4504,-20.0644,16
-100.7059,-2.7511,-20.1752,16
-99.7886,-2.7261,-20.3669,16
-99.4842,-3.0267,-20.4777,16
-99.1784,-3.0183,-20.5416,16
-98.8740,-3.3190,-20.6523,16
-98.5682,-3.3106,-20.7162,16
-98.2638,-3.6113,-20.8270,16
-97.9580,-3.6029,-20.8909,16
-95.8271,-5.7073,-21.6664,16
-95.8285,-6.0163,-21.7133,16
-95.5241,-6.3169,-21.8240,16
-95.5255,-6.6258,-21.8709,16
-95.2211,-6.9265,-21.9817,16
-95.2224,-7.2354,-22.0286,16
-94.9180,-7.5360,-22.1394,16
-94.9208,-8.1540,-22.2332,16
-94.6164,-8.4546,-22.3440,16
-94.6205,-9.3815,-22.4847,16
-94.0117,-9.9827,-22.7062,16
-94.0131,-10.2917,-22.7531,16
-93.7087,-10.5923,-22.8639,16
-93.7100,-10.9012,-22.9108,16
-93.4056,-11.2019,-23.0216,16
-93.4111,-12.4377,-23.2092,16
-93.1067,-12.7383,-23.3200,16
-93.1150,-14.5921,-23.6014,16
-93.4222,-14.9094,-23.5844,16
-93.4277,-16.1452,-23.7720,16
-93.7348,-16.4625,-23.7550,16
-93.7362,-16.7714,-23.8019,16
-94.9649,-18.0406,-23.7339,16
-94.9662,-18.3496,-23.7808,16
-97.7307,-21.2052,-23.6280,16
-98.3423,-21.2219,-23.5002,16
-100.4925,-23.4429,-23.3813,16
-101.1040,-23.4596,-23.2535,16
-101.7184,-24.0941,-23.2196,16
