slice_idx,circle_idx,is_articular,x_mm,y_mm,z_mm
19,0,0,-112.1208,-42.8612,-11.5928
19,0,0,-113.4334,-42.8982,-11.3738
19,0,0,-116.0586,-45.5975,-11.3796
19,0,0,-118.0275,-45.6530,-11.0512
19,0,0,-118.6838,-45.0151,-10.8308
19,0,0,-119.3401,-45.0336,-10.7214
19,0,0,-119.9964,-45.7085,-10.7228
19,0,0,-126.5594,-46.5498,-9.7391
21,0,0,-134.5235,-42.0731,-16.2563
21,0,0,-135.1798,-41.4352,-16.0360
21,0,0,-136.4924,-41.4722,-15.8170
21,0,0,-137.8050,-40.1966,-15.3763
21,0,0,-138.4613,-40.2151,-15.2668
21,0,0,-143.0554,-35.7504,-13.7241
21,0,0,-143.0554,-35.0940,-13.6132
21,0,0,-143.7117,-34.4562,-13.3928
21,0,0,-143.7117,-33.7999,-13.2819
21,0,0,-144.3680,-33.1621,-13.0615
21,0,0,-144.3680,-32.5058,-12.9506
21,0,0,-145.0243,-31.8680,-12.7302
21,0,0,-145.0243,-29.8990,-12.3975
21,0,0,-145.6806,-29.2612,-12.1771
21,0,0,-145.6806,-25.9796,-11.6225
21,0,0,-145.0243,-25.3048,-11.6211
21,0,0,-145.0243,-23.9921,-11.3992
21,0,0,-144.3680,-23.3173,-11.3978
21,0,0,-144.3680,-22.6610,-11.2869
21,0,0,-143.7117,-21.9862,-11.2854
21,0,0,-143.7117,-21.3299,-11.1745
21,0,0,-139.1176,-16.6061,-11.1644
21,0,0,-139.1176,-15.9498,-11.0534
21,0,0,-137.1487,-13.9253,-11.0491
21,0,0,-136.4924,-13.9068,-11.1586
21,0,0,-135.1798,-12.5572,-11.1557
21,0,0,-132.5546,-12.4832,-11.5935
21,0,0,-131.8983,-11.8084,-11.5921
21,0,0,-131.2420,-11.7899,-11.7016
21,0,0,-130.5857,-11.1151,-11.7001
21,0,0,-129.2731,-11.0781,-11.9190
21,0,0,-128.6168,-11.7159,-12.1394
21,0,0,-127.9605,-11.6974,-12.2489
21,0,0,-127.3042,-12.3352,-12.4693
21,0,0,-126.6479,-12.3167,-12.5788
21,0,0,-124.0227,-14.8680,-13.4603
21,0,0,-124.0227,-15.5243,-13.5712
21,0,0,-117.4596,-26.4967,-16.5514
21,0,0,-117.4596,-27.8094,-16.7733
21,0,0,-116.8033,-28.4472,-16.9937
21,0,0,-116.8033,-29.1035,-17.1046
21,0,0,-117.4596,-29.7783,-17.1060
21,0,0,-116.8033,-30.4161,-17.3264
21,0,0,-116.8033,-31.7288,-17.5482
21,0,0,-128.6168,-39.9376,-16.9088
21,0,0,-130.5857,-41.9621,-16.9132
22,0,0,-135.8803,-40.0889,-20.0083
22,0,0,-136.5366,-39.4510,-19.7879
22,0,0,-137.1929,-39.4695,-19.6785
