slice_idx,num_points,x_mm,y_mm,z_mm
18,40,-144.2353,-35.9441,-0.5942
18,40,-144.2353,-34.6314,-0.3724
18,40,-144.8916,-33.9936,-0.1520
18,40,-144.8916,-31.3684,0.2917
18,40,-144.2353,-30.6935,0.2931
18,40,-144.2353,-28.7246,0.6259
18,40,-104.2010,-34.8156,-7.2717
18,40,-104.8573,-35.4904,-7.2732
18,40,-104.8573,-36.1467,-7.3841
18,40,-103.5447,-37.4224,-7.8249
18,40,-103.5447,-38.0787,-7.9358
18,40,-102.8884,-38.7165,-8.1562
18,40,-102.8884,-39.3728,-8.2671
18,40,-104.8573,-41.3973,-8.2714
18,40,-106.8262,-41.4528,-7.9430
18,40,-108.7951,-43.4772,-7.9474
18,40,-109.4514,-43.4957,-7.8379
18,40,-110.1077,-44.1706,-7.8394
18,40,-110.7640,-44.1891,-7.7299
18,40,-111.4203,-44.8639,-7.7313
18,40,-112.0766,-44.2261,-7.5109
18,40,-112.7329,-44.2446,-7.4015
18,40,-113.3892,-44.9194,-7.4029
18,40,-122.5774,-47.1473,-6.2031
18,40,-123.8900,-48.4970,-6.2060
19,47,-131.8098,-46.6978,-8.8633
19,47,-132.4661,-46.0600,-8.6429
19,47,-133.7787,-46.0969,-8.4240
19,47,-134.4350,-45.4591,-8.2036
19,47,-135.7476,-45.4961,-7.9847
19,47,-136.4039,-44.8583,-7.7643
19,47,-139.0291,-42.9634,-6.9937
19,47,-139.0291,-42.3070,-6.8828
19,47,-141.6543,-39.7558,-6.0012
19,47,-141.6543,-39.0994,-5.8903
19,47,-142.3107,-38.4616,-5.6699
19,47,-142.3107,-37.8053,-5.5590
19,47,-142.9670,-37.1675,-5.3386
19,47,-142.9670,-35.8548,-5.1168
19,47,-143.6233,-35.2170,-4.8964
19,47,-143.6233,-34.5607,-4.7855
19,47,-144.2796,-33.9229,-4.5651
19,47,-144.2796,-32.6103,-4.3433
19,47,-144.9359,-31.9724,-4.1229
19,47,-144.9359,-29.3472,-3.6792
19,47,-144.2796,-28.6723,-3.6778
19,47,-144.2796,-26.7034,-3.3450
19,47,-142.9670,-25.3537,-3.3422
19,47,-142.9670,-24.6974,-3.2312
19,47,-141.6543,-22.6915,-3.1174
19,47,-131.8098,-9.9439,-2.6520
19,47,-130.4972,-9.2506,-2.7601
19,47,-119.9964,-8.2983,-4.4006
19,47,-118.0275,-8.8991,-4.8399
19,47,-106.8704,-30.2431,-10.3611
19,47,-106.2141,-30.2246,-10.4706
19,47,-103.5889,-32.7759,-11.3521
19,47,-103.5889,-34.0885,-11.5739
19,47,-106.2141,-36.7878,-11.5797
19,47,-106.2141,-37.4441,-11.6907
19,47,-108.1830,-39.4686,-11.6950
19,47,-108.8393,-39.4871,-11.5855
19,47,-112.1208,-42.8612,-11.5928
19,47,-113.4334,-42.8982,-11.3738
19,47,-116.0586,-45.5975,-11.3796
19,47,-118.0275,-45.6530,-11.0512
19,47,-118.6838,-45.0151,-10.8308
